date,isEdited,userName,review,rating,title,developerResponse
2019-06-06 13:40:56,False,Zz효ㅠㅕㅠㅕㅠㅕ,규칙적인 생활 도전!,5,기대돼요!,
2019-04-20 11:30:55,False,쿠키캬컁ㄹ,써보고 다시 평가헤야지,5,함 써봅니다,
2019-05-19 11:57:04,False,jjjoy37662,게임처럼 목표의식이 생겨서 잘 자게 돼요ㅎㅎ,4,굿,
2019-04-10 12:43:27,False,유빈222,습관 개선에 도움이 되네요ㅎㅎㅎ 좋아요,5,좋아요,
2021-07-15 22:13:41,False,ㅎㅎㄱㄷㅊㅊ,자기전에 폰 안해요ㅠ,5,조아요 ㅎㅎ,
2020-04-08 16:11:26,False,오빔,잘 써볼게요!,5,결제했는데,
2018-04-25 22:05:45,False,mallangg,덕분에 잠버릇 고쳤어요 좋아요,5,좋은어플,
2019-04-18 00:11:01,False,피카츄라스,건물이 그냥 무너졌어요,3,한번씩오류나요 ㅜ,
2020-04-27 12:41:58,True,녹차바나나,최고의 앱!,5,추천해요,"{'id': 10188671, 'body': ""Hello, sorry for the inconvenience. This issue has been resolved in the latest version (v.3.2.3). Please update to the new version, and your buildings won't be cancelled again after your phone is locked. We'd really appreciate it if you update the review and rating when you've seen the improvement. Thank you! :) - SleepTown"", 'modified': '2020-04-27T12:41:58Z'}"
2019-06-13 08:11:21,False,명장조봉래,적-절,5,자기전 폰사용 방지용으로 적절함,
